model_name,split_name,quality_scope,spec_class,threshold_metric,threshold_value,n_rows,n_host,n_field,tp,fp,tn,fn,precision,recall,f1,specificity,balanced_accuracy,accuracy
baseline_legacy_gaussian,train,classwise,M,f1,0.3839469733058426,2257,157,2100,100,494,1606,57,0.16835016835016836,0.6369426751592356,0.2663115845539281,0.7647619047619048,0.7008522899605703,0.7558706247230838
baseline_mlp_small,train,classwise,F,f1,0.35674602230956004,2388,288,2100,0,0,2100,288,0.0,0.0,0.0,1.0,0.5,0.8793969849246231
baseline_mlp_small,train,classwise,G,f1,0.35674602230956004,3381,1281,2100,1231,568,1532,50,0.6842690383546415,0.960967993754879,0.7993506493506493,0.7295238095238096,0.8452459016393443,0.8172138420585625
baseline_mlp_small,train,classwise,K,f1,0.35674602230956004,2749,649,2100,585,206,1894,64,0.7395701643489254,0.901386748844376,0.8124999999999999,0.9019047619047619,0.9016457553745689,0.9017824663514005
baseline_mlp_small,train,classwise,M,f1,0.35674602230956004,2257,157,2100,53,21,2079,104,0.7162162162162162,0.3375796178343949,0.4588744588744589,0.99,0.6637898089171974,0.9446167478954364
baseline_random_forest,train,classwise,F,f1,0.6133333333333333,2388,288,2100,240,62,2038,48,0.7947019867549668,0.8333333333333334,0.8135593220338982,0.9704761904761905,0.901904761904762,0.9539363484087102
baseline_random_forest,train,classwise,G,f1,0.6133333333333333,3381,1281,2100,1278,0,2100,3,1.0,0.9976580796252927,0.9988276670574443,1.0,0.9988290398126464,0.9991126885536823
baseline_random_forest,train,classwise,K,f1,0.6133333333333333,2749,649,2100,602,102,1998,47,0.8551136363636364,0.9275808936825886,0.8898743532889873,0.9514285714285714,0.93950473255558,0.9457984721716988
baseline_random_forest,train,classwise,M,f1,0.6133333333333333,2257,157,2100,136,21,2079,21,0.8662420382165605,0.8662420382165605,0.8662420382165607,0.99,0.9281210191082803,0.9813912272928667
main_contrastive_v1,train,classwise,F,f1,0.49873447142514904,2388,288,2100,259,686,1414,29,0.2740740740740741,0.8993055555555556,0.42011354420113545,0.6733333333333333,0.7863194444444445,0.7005862646566164
main_contrastive_v1,train,classwise,G,f1,0.49873447142514904,3381,1281,2100,1038,508,1592,243,0.6714100905562742,0.810304449648712,0.7343473646975591,0.758095238095238,0.784199843871975,0.7778763679384797
main_contrastive_v1,train,classwise,K,f1,0.49873447142514904,2749,649,2100,630,379,1721,19,0.624380574826561,0.9707241910631741,0.7599517490952956,0.8195238095238095,0.8951240002934918,0.8552200800291014
main_contrastive_v1,train,classwise,M,f1,0.49873447142514904,2257,157,2100,115,484,1616,42,0.19198664440734559,0.732484076433121,0.3042328042328042,0.7695238095238095,0.7510039429784652,0.7669472751439964
