source_id,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,teff_gspphot,logg_gspphot,radius_gspphot
38590281983360,45.4019030224066,0.4413422428969414,1.395166592588641,0.0362395,38.498504412843715,15.113282,1.1694431,1.1264986,4962.828,4.4547,0.9135
42228118474880,45.35995126841818,0.4980668172072081,0.47880437672493603,0.091067985,5.25765864152113,17.168264,1.2300034,1.0760416,4561.588,4.7584,0.5124
45698452054656,45.5175179717377,0.5374787633293039,-0.06243477666221396,0.16355896,-0.38172642255199685,18.150328,0.06080818,1.0589247,9463.8955,4.5688,1.0312
46557445516032,45.601980346528904,0.5700330808210915,1.1394721011289966,0.16656601,6.840963962468972,18.108578,2.1430607,1.1167955,3472.9653,4.4621,0.4441
46802259464576,45.64768488568983,0.573418208825777,0.38973188886943083,0.1124613,3.4654756201482346,17.673578,1.1061001,1.0456768,4834.239,4.7371,0.5501
47038481856128,45.642937187130045,0.6016322148354132,1.2345569479723453,0.13051482,9.459132618150933,17.894636,1.8774109,0.958654,3822.1633,4.857,0.4024
51372104643200,45.58676580900015,0.6832129597678692,0.4800001502688602,0.028499464,16.84242754386269,15.110422,1.0332031,0.9017157,5532.0312,3.9233,1.7681
56732223835904,45.27081810745895,0.6222390492954839,2.572211944386863,0.018485988,139.14387512069956,13.948764,1.3377018,1.0419862,5238.9756,4.4782,0.8661
60679298248832,45.13719077723364,0.6680933667917514,0.5462215812334597,0.14988777,3.6442037914332506,18.105133,1.4418316,0.88541716,4241.2803,4.7656,0.4905
61366493032704,45.147895893683376,0.7115884085842663,0.31857027785322356,0.104337156,3.05327738093659,17.670776,1.0378475,0.9725105,5020.936,4.7429,0.5483
65283503226624,45.39272651337509,0.7615519672264269,1.6635319486304438,0.1391362,11.956140862159252,18.219496,2.0772476,0.9948014,3542.145,4.6038,0.3329
68582038120320,45.347635889777415,0.7934771043627474,0.4678031347842654,0.1325972,3.528001790763145,18.188894,1.5224762,0.98289627,4172.429,4.7529,0.5089
73323681900288,44.79287459941827,0.4516081191637017,0.2665351556129483,0.16504149,1.6149584772248937,18.187265,1.137558,1.0611448,4696.885,4.836,0.458
75694503712128,44.5872171286301,0.45317535808522397,0.24825142387033125,0.10083689,2.4619108037078514,17.575472,1.1058216,1.0479621,4842.7065,4.7239,0.5682
76175540049024,44.51019631785413,0.4519695540679777,2.3006186558552755,0.09695019,23.729903950583648,17.428795,2.2913208,0.9691231,3602.2976,4.5658,0.5229
78035261570816,44.701386273157745,0.5511824632611845,0.8474980979254356,0.031448975,26.948353400696394,15.218708,0.8772268,1.0414149,5854.3086,4.4451,0.866
78512002265216,44.616418174150944,0.5372444279263595,-0.06279322092817174,0.13053207,-0.48105588496237567,18.048702,1.0249443,1.027151,5049.779,4.7837,0.5052
79134773198080,44.650123367728256,0.5854135206748823,2.211177334968294,0.051256545,43.13941448451246,16.318949,2.0514011,0.98629797,4042.8804,4.5192,0.7807
80131204992512,44.868944760192456,0.5350513593980261,2.763516187430223,0.2102161,13.146072645751065,18.497162,2.9369774,0.95410305,3211.341,4.9478,0.3075
83906481351168,44.70923741924576,0.5608888439866302,0.2965544346563638,0.15559514,1.9059363756036238,18.355343,1.2674637,0.9116891,4494.9316,4.735,0.5402
84112639784064,44.778269487892466,0.5674117914953634,2.486877655831801,0.26427224,9.410287019283054,18.36423,2.598301,1.1832209,3217.7825,4.695,0.2627
85074712470272,44.69192863011516,0.6083163343445948,0.24189463529191002,0.23196793,1.042793456132521,18.784594,0.9918537,0.9811183,5019.7866,4.7948,0.5008
86693915665280,44.856484140123165,0.6802329091064019,7.9457636260696125,0.017974596,442.0551882245873,9.868173,0.7679758,0.9448577,5791.698,4.3369,1.1389
93703302269696,44.36106117509042,0.5999250001580111,1.6925369865430906,0.031691484,53.40668106161927,14.875039,1.2267284,0.9307078,4761.0493,4.4966,0.8599
95039036428928,44.45740192142981,0.6508444568980483,1.5944071314502626,0.23911998,6.667812338646606,18.63883,2.0663528,1.1027855,3439.6182,4.563,0.2712
99505802832512,44.78101371427321,0.7151338934010226,2.4210739329456614,0.21490368,11.265855964473822,18.651785,2.7133045,0.92147696,3222.3645,4.9658,0.2911
99510098046080,44.77958756615043,0.7241969998997273,0.2768248579537896,0.2000132,1.3840329061656251,18.580692,1.435566,1.0054466,4220.0728,4.8743,0.4072
101601746668800,44.57737292602425,0.7310349666013037,-0.3340097498563516,0.25244036,-1.3231233930412267,18.906319,0.7924309,1.0263399,5646.6826,4.738,0.5893
102254581692288,44.51119176551826,0.7173000123205518,0.941841006881132,0.132255,7.121401735591061,17.658377,1.6461163,0.8481614,3770.9214,4.2841,0.4218
106412110019584,45.02896842772716,0.6753110488101318,2.525650903195908,0.19132034,13.201162196109689,18.362913,2.7500076,1.0104864,3266.9646,4.6119,0.2997
109955458539648,44.91622767276118,0.6771154514180071,0.4662570980431744,0.052801978,8.830296081505185,15.919719,0.69491863,1.0878842,6456.084,4.4791,0.8386
111772229245952,44.94085915634387,0.7852212043249897,-0.006188863400795823,0.17608672,-0.03514667810883867,18.368645,0.9367924,0.9471983,5097.4683,4.7704,0.5105
121599114475904,45.22015571877467,0.9665554735293977,0.4492938462113577,0.21361639,2.1032742595583804,18.870993,1.642664,1.0368742,3841.5713,4.9091,0.3634
124901944696960,44.823740677273456,0.8558704585843342,0.6868145299695183,0.06482365,10.595122796044388,16.70978,1.0893021,0.9647371,4852.1562,4.7195,0.5496
129815387282432,44.820519363766195,0.9146218609800474,3.774567604628697,0.020860031,180.9473610039003,14.229513,1.5291634,0.9579085,4515.752,4.6459,0.6826
133698037738368,45.01071893104291,0.9976576092392495,0.40717758856972147,0.055495724,7.33709840361989,16.5668,0.9128628,0.9414977,5302.5693,4.5408,0.7413
134866268838016,45.16671860736709,1.0457181400370263,0.9923718318351692,0.040020723,24.796449439892797,15.75936,0.98665524,0.97174376,5137.6997,4.5077,0.7924
146475564682624,45.58595244380133,0.7538143541213296,0.664559555168245,0.22450468,2.9601144921415936,18.952454,2.168089,0.9938321,3432.6743,4.6118,0.2933
146686018695808,45.581383505106686,0.7656230638086152,0.4733169049537833,0.28914368,1.6369609131884868,18.987547,0.8513031,1.1296291,5295.157,4.7956,0.5196
152110561793024,45.94667260969863,0.8720730742706363,0.42112961369854623,0.09288618,4.533824247310137,16.84272,1.0971165,1.0039014,4902.846,4.6288,0.6861
152660317613952,45.99051801932261,0.8973542938748647,3.6618749866869296,0.14460401,25.323467355210532,17.702663,2.6890602,1.0050331,3395.9443,4.6988,0.3486
155306017466624,45.72869896335184,0.8887968815744851,1.327988795523543,0.060490567,21.95365089432013,16.09308,1.2608843,1.1809173,4670.717,4.2897,1.0843
155546535642752,45.7471556456123,0.9226499710443995,3.980315193851949,0.23617226,16.85344084511648,18.708635,2.8620567,1.0552096,3162.1128,5.0862,0.199
157921653157248,45.89683368241677,0.9964180515092392,2.106311796160373,0.024860531,84.7251327170735,13.659775,1.0359497,0.8303926,5113.1357,4.4079,0.9843
160532993254400,45.61833331776897,0.835915221981254,1.5259852450302938,0.053837687,28.34418297628185,16.171186,1.4966526,0.9921846,4437.9604,4.6247,0.654
161147172986112,45.6451494634258,0.8783918302475431,0.5482471016449372,0.171041,3.2053549239786694,17.601456,1.3489361,1.1729052,4361.08,4.7984,0.4747
161731288782336,45.5696207545012,0.8845817288446082,1.5123193577232565,0.23404023,6.461792292764449,18.931522,2.4395142,0.9399799,3260.831,4.6612,0.2724
163071318576512,45.40459667288068,0.8592031048110534,0.6267835762829498,0.065457486,9.575430073161252,16.13633,0.94014263,1.2335294,5187.5493,4.3829,0.9433
164243845000064,45.39595804471206,0.8957451107448201,0.1089033578859595,0.05195948,2.0959285120011493,16.422424,1.0735207,0.99248827,5630.0547,4.4426,0.8887
165545219907712,45.5549044017429,0.9524981978984607,2.064046073708159,0.26111042,7.904878075030304,18.999079,2.7217999,1.0378355,3267.1978,4.5716,0.536
171145856895616,45.82457817216454,1.080830667682177,1.7132625280984748,0.12966554,13.212936495615944,17.457155,2.1359158,1.022687,3599.0835,4.4458,0.4879
171321951093888,45.75646306160639,1.081886975427166,0.0914469560588766,0.08588584,1.0647501210366612,16.758312,0.8915386,0.90009624,5410.038,4.679,0.6019
172004850575488,45.59769014107258,1.0288064661713805,0.6121691851445062,0.18300508,3.3450939525400187,18.353952,1.6619568,0.99640304,3912.6296,4.7151,0.5189
172971218539264,45.544605177069236,1.0435766207406867,0.776592933976326,0.05187266,14.971141673513465,16.120495,1.2185049,0.9654315,4692.4185,4.1834,1.445
173860276457088,45.72080393891322,1.0709769241741676,0.39129889244557925,0.114596754,3.414572208375757,17.31955,1.1326447,1.0166544,4838.5503,4.7097,0.5855
193514046566784,45.87363470625328,1.0512097851109525,1.2800031826350164,0.08266023,15.485115555431857,16.534262,1.3821182,1.0894402,4386.744,4.4903,0.7976
194342975797760,45.90100826489732,1.1162421390862725,0.7652386280916185,0.043041576,17.77905700814817,15.385249,0.8935566,1.0284083,5647.47,4.5561,0.7342
194789652396672,45.86725140444072,1.1206603763676197,2.266263418356721,0.0214717,105.54653101738876,12.671756,0.8953266,1.2145053,6003.3447,4.4471,1.0732
198500504139520,45.837043849742365,1.1762414364989864,0.5511555633677001,0.15753525,3.498617268395682,17.700577,1.271183,1.0066447,4528.6294,4.8172,0.4645
212652421055360,45.31596808675401,0.9814581510771733,1.2411645165060727,0.12424119,9.989960131599094,17.971956,1.8959274,0.8971791,3592.378,4.4868,0.475
213820652171776,45.430876242825995,1.0372200381220908,1.2637820053318871,0.104189135,12.129690909746381,17.732758,1.7818565,0.9913258,3683.744,4.3157,0.4145
215195041717888,45.46888277824278,1.0908907142809041,1.0377355204292689,0.086461045,12.002347672920711,17.153803,1.5505066,1.0068624,4407.3755,4.537,0.7879
216023970691328,45.26285065301346,1.0303239080205908,0.1295718902891937,0.03215321,4.029827320735465,15.362736,0.8080082,1.0679348,6868.3184,3.883,1.7986
219490009030272,45.381518925643306,1.1480355707659105,-0.006581968952227915,0.1739867,-0.03783029871123245,18.379192,0.8394413,1.0621431,5631.7363,4.7393,0.5866
221727687281408,45.557040819197724,1.150867711988432,1.716386063534531,0.13104223,13.097961633258931,16.352869,1.7622042,2.3417234,4178.0654,4.6347,0.6353
221860830978048,45.5132388395061,1.1504620600013535,0.873053411589272,0.17142607,5.092885800586592,18.338602,1.5537491,1.0090594,3987.2957,4.8362,0.4245
223067717074176,45.66002912159597,1.205249092081852,1.3387885761142182,0.15259308,8.773586647563414,17.731922,1.9506798,1.0041993,3554.8423,4.4055,0.4749
223544458173824,45.533643235350574,1.1940418829833974,1.838917803360462,0.20446153,8.993955022741554,18.461672,2.01338,1.0298319,3394.9824,4.6102,0.2934
226160093499648,45.455770352957764,1.228555595652519,0.6340891625230756,0.07275734,8.715122819083845,16.09354,0.86491394,0.9194128,5603.672,4.7121,0.607
226465035952256,45.43844222545507,1.2572390262913342,0.046756470538047275,0.1831534,0.25528583723302756,18.345566,1.208744,0.97035515,4615.1543,4.824,0.4637
228148663136256,45.535746712476104,1.2769974476439205,0.778571652840918,0.30033383,2.5923541770675964,18.797655,1.2982197,1.2655016,4190.608,5.037,0.2738
228771433627136,45.17068747019773,1.0602922705393254,0.5685421315102525,0.07859126,7.234165106887272,17.182255,1.2205257,1.0293456,4904.2383,4.6109,0.716
231279694521984,45.24912134733396,1.1657162730562307,1.4775772038652868,0.10650984,13.872682340124554,17.646778,2.1858616,1.0214709,3722.896,4.6465,0.5672
231515917394688,45.30424087862356,1.1727314509259528,1.8597787082918291,0.017638892,105.43625501581619,12.82392,0.80040455,1.0543143,6298.3843,4.2927,1.2124
231932529548800,45.29578665235837,1.2077470284032263,3.6096697880340853,0.119356036,30.242875881051457,16.726147,2.3322525,1.5686154,3604.9268,4.5606,0.5047
234578229384576,45.020751004048805,1.2100403423377615,0.4391341810679472,0.12039764,3.6473652875900284,17.573963,1.1740494,1.100168,4677.817,4.3906,0.8638
235776524949888,45.16335722198581,1.2568054022525128,7.183725641499274,0.016515715,434.96304100331724,13.22696,1.7277956,1.1671715,4263.305,4.6007,0.6917
238048562976000,45.390571729113795,1.2370433404888412,1.2686086200824969,0.37550116,3.3784413185087785,12.692556,0.7770901,23.523537,5751.8096,3.2758,4.6387
240041427798144,45.40200506870034,1.3095314876192707,0.8557302463304004,0.02237186,38.25029469503214,14.328375,0.881794,1.0196173,5728.723,4.1819,1.4352
248146030873856,45.717597556911905,1.3052646490357678,1.4302993485649949,0.27259865,5.246905395205609,18.42864,2.29846,1.0917673,3392.6125,4.6607,0.3075
249868312996736,45.72595629417409,1.3315683264662495,0.3876634876124464,0.048892505,7.9288938848632196,15.952323,1.0290651,0.9911554,5723.5205,4.1623,1.2942
251998616746880,45.584007780711794,1.3392843686279081,0.8964996406671357,0.078445144,11.42836375816676,16.731026,1.3075752,1.0343813,4569.8413,4.5252,0.7865
2546916445184,45.05702843457773,0.11498172278883387,0.2246093341079088,0.12170972,1.8454510896847527,17.860052,1.0545597,1.0054116,4890.537,4.7829,0.491
11922829223296,45.28222770243335,0.30931803841505434,-0.1754973587533498,0.20395847,-0.8604563548485694,18.195404,1.2982578,1.2125561,4440.739,4.8805,0.4112
13816910627200,45.1208055392479,0.2764145333399676,0.6136835938640745,0.087398805,7.021647444727982,17.208853,1.3183346,0.9468253,4399.705,4.1973,1.1237
13885630103680,45.153702208130106,0.2889811434267435,0.29018288642009676,0.15587339,1.861657657196207,18.070105,0.88856125,1.0213423,5486.128,4.747,0.5734
15839839588736,45.189480360571665,0.3591947400894022,-0.33315377915341504,0.34581935,-0.9633751704313289,18.888464,0.6619091,1.2825676,6323.9814,4.6773,0.6821
16222092310144,45.2000107759865,0.3702526717897519,2.831291273964687,0.039359737,71.93369357290679,15.497901,1.7522755,1.0330038,4326.2393,4.5815,0.7338
16870631694208,45.11277842681158,0.3808400749444696,2.101317240027476,0.017278953,121.61137876273345,10.629925,0.8382168,1.0904268,6014.3394,3.6465,3.0977
17867064019200,44.80635756999029,0.17353729960716335,1.9126480110787547,0.21688698,8.818639046955123,18.856089,2.3368645,0.9500148,3218.0244,4.6217,0.2461
21818434060416,44.88793356211843,0.3453821523590813,0.10532580467798884,0.12974384,0.8117980877630702,17.879084,0.7561016,1.0230125,5787.414,4.6693,0.6303
35665408437504,45.340323821990005,0.3522211989629854,0.5141001402752785,0.219767,2.3392963016731665,17.973574,1.4170837,1.045879,4322.118,4.8585,0.4237
44358422235136,45.501453861130194,0.4976972037485959,9.558267252454172,0.018802298,508.35632612840016,9.365663,0.8276682,1.0060176,5787.84,4.314,1.2027
45320494931840,45.51113597778361,0.5335684458453492,1.826206034450986,0.14767492,12.366392729536084,17.858206,2.0855846,1.0251497,3647.2896,4.4645,0.4996
49001282700416,45.46308315546819,0.5773208152083917,0.9487481911949234,0.018475346,51.35211960157269,13.874384,1.1603422,0.9619628,5281.573,4.0759,1.8805
49065706418816,45.505852630085656,0.5868030627035024,0.8504645093775213,0.245927,3.4581989314176385,18.964169,1.623909,0.99485564,3801.0188,5.0234,0.2693
54047868930944,45.163883254097605,0.5254957424460732,3.3473164208124495,0.26092812,12.828499922005452,18.871185,3.2096672,1.0556412,3151.4116,4.437,0.6158
55117316135808,45.283321433924485,0.5571913569835849,2.2491106527151055,0.02908785,77.32130731568225,15.052021,1.378726,0.99391025,4491.14,4.4897,0.7903
59236189231360,45.09017054443056,0.6477859794297357,3.3128369560643174,0.10413,31.814433496673356,17.599262,2.5508232,1.0054842,3482.3909,4.8716,0.3783
60988535904000,45.13489175445086,0.6960973405395638,0.11472488444173735,0.18175794,0.6311959922027306,18.434381,1.1565685,0.9989073,4612.4517,4.8697,0.4251
62607739092480,45.379316418683146,0.6901373684229289,0.7562246758994163,0.03426166,22.072039202325445,15.436942,0.8879099,1.0595659,5389.3794,4.3779,1.0125
66073777180928,45.26353313169263,0.6907086603110393,0.45051186062837617,0.17194757,2.620053683528715,18.497223,1.1572723,0.98953605,4619.537,4.7994,0.4868
71266393150080,44.653280502557614,0.37263551216244434,0.572293417641762,0.03908158,14.643558523531656,15.144015,0.93170166,0.94739676,5364.6255,3.857,1.8301
72915660589952,44.702647733711565,0.40269819741381024,1.4609406459105365,0.027890556,52.381195589195805,9.842077,1.2580805,1.0765792,4631.998,2.4476,9.4273
89442694714368,44.39918502003881,0.5297815325613197,1.3246233859383267,0.033641946,39.374161139232726,14.4600115,0.93736076,1.1857054,5557.964,4.4911,0.8284
91534343111552,44.492288315041215,0.5943964502178667,0.4123584769105387,0.08138373,5.066841856765986,17.09808,0.8378277,1.037686,5559.206,4.7355,0.5843
92049739372288,44.57556612262212,0.6446812664073681,0.6358670279470005,0.09764716,6.511884483354843,17.43287,0.994297,1.1056274,5093.6724,4.7862,0.5151
98548025373056,44.67798733742937,0.6995069506699435,1.263402632781834,0.016479133,76.66681590669468,13.39177,0.85947895,1.1789576,5811.359,4.2133,1.4326
109195248853632,45.00767612799498,0.746070263657892,0.2789674660618111,0.24954048,1.1179247082782138,18.916162,1.250927,1.0692585,4512.971,4.8762,0.414
112772957079808,45.03586192207,0.8051099086592565,2.122906065882161,0.048343346,43.91309792321686,16.173277,1.7999773,1.0581447,4229.292,4.5838,0.691
116582592635904,45.27666301447685,0.832269138922873,0.6438262299514,0.23124385,2.784187485594059,18.862747,2.1037197,1.0869168,3366.9097,4.6017,0.297
120018566489984,45.06942129461441,0.8956674895229525,0.1966211268286402,0.17945427,1.095661474582019,18.513506,0.8959713,0.9314531,5251.5996,4.7827,0.5237
120190364960512,45.00799417061545,0.8885621585799379,3.9161017393658786,0.016730592,234.0683354283894,9.314005,1.1977377,1.0902342,5077.8394,3.289,4.5695
121221157344384,45.1554895135368,0.9296248955668744,3.876199572660637,0.12622488,30.708682094853383,17.677185,2.6923199,0.9879834,3385.866,4.896,0.3604
121706489044224,45.231908635951065,0.9724663664569606,1.2690043694721884,0.028856875,43.975806562043786,15.215919,1.3032885,0.9562105,4487.054,4.1955,1.2348
122836065070720,45.196593201473895,1.0130603775300804,0.30350254562804535,0.146427,2.0727224771874453,18.307205,1.0456581,0.9207513,4948.695,4.8359,0.4671
129398775076096,44.7547670794379,0.9299274474838599,0.2906346620304048,0.21805948,1.3328228691401038,18.929539,1.224041,0.9856363,4500.534,4.8373,0.4499
130017250365568,44.79885740769117,0.9257662197284817,0.40058717050092063,0.16898644,2.3705284944784646,17.460388,1.0799599,1.8294805,5010.566,4.7243,0.5352
130670085408896,44.84430188849069,0.9748592605712555,-0.24028857748306387,0.19198732,-1.251585659437734,18.77886,0.7667713,1.07146,5728.1353,4.7452,0.5851
132284993098240,44.9627438610998,0.9275715963494261,2.9735940604644906,0.111884646,26.577320156482237,17.521374,2.3680687,1.0768541,3528.2725,4.8691,0.3832
134484016374016,45.05482393594744,0.9985422189227926,1.6804285343922063,0.15358636,10.941261698716959,18.241812,2.2538776,1.0458627,3405.1946,4.6201,0.3784
135583528011648,45.00885301655122,1.0480555476733715,1.7821792134560512,0.25380346,7.021886939154722,18.896715,2.313305,1.0785509,3359.7954,4.7386,0.2825
138577120584320,45.00824936384576,1.0613299977204818,0.3403001849455005,0.034532644,9.854449209801581,15.532284,0.6754923,1.05767,6317.1943,4.1933,1.1824
138675904467456,45.02188485876223,1.0659863264592109,0.22762305199099353,0.11268575,2.0199808507534684,17.643005,1.1200829,1.0454751,4851.778,4.7615,0.5311
145582211474560,45.63089041949776,0.7256101117077607,0.29924386764242544,0.014042561,21.30977881230889,13.253917,1.2556257,1.0026792,4970.542,2.9178,7.2264
147579371889408,45.71916613096249,0.7922924664482864,0.9877008614563786,0.10665545,9.260669508452914,17.445261,1.8183804,1.0726819,4126.021,4.5012,0.7944
155546535643392,45.74688354704461,0.9279635591734693,1.1524069036525044,0.13915104,8.281698294574221,17.96407,2.0719109,0.9564216,3825.1946,4.6529,0.5602
155958852505472,45.76023355200188,0.9425428443311383,1.0564930695325814,0.16430338,6.430136051262981,18.058254,2.026659,1.0973859,3716.4512,4.841,0.4111
160769215831296,45.64311240520161,0.8659153963444007,1.5083871147358032,0.019923793,75.7078284857773,12.863879,0.7228632,1.1765643,6237.5513,4.2245,1.3677
170664820552960,45.76294794994575,1.0548685309614747,0.5572922848652359,0.17436346,3.1961528619959374,18.047043,1.3139858,1.002252,4450.276,4.7141,0.5618
173349175659520,45.64845042260469,1.082223988634923,2.1170313292222356,0.0609426,34.738118822522125,16.103834,1.7676201,1.0296811,4232.065,4.6311,0.6338
175135882053760,45.6486394997481,1.1195732732307238,1.0911355007857566,0.06001061,18.18237694895007,15.877962,1.1435223,0.9458235,4807.3394,4.1958,1.316
175616918388480,45.717106776972265,1.1648456444279374,0.7739532734743626,0.028434698,27.218621630257726,14.586469,0.9857235,0.9421991,5278.7583,4.1523,1.5535
194132521867520,45.90546762191859,1.0966561328495041,0.5417250703259385,0.09200817,5.887792898396364,16.817108,0.90709305,1.0560205,5302.8457,4.7234,0.585
194342975824640,45.90837537512896,1.109352686228912,2.194242281427785,0.02150929,102.01370234892381,12.939711,0.8878317,0.981009,5775.6895,4.2734,1.1279
199256418383744,45.76780118917082,1.2088178269267333,6.455573623918328,0.27185252,23.746601836091173,14.11188,2.6249685,12.309492,3524.6077,4.2581,0.9217
207017423782784,45.964238715687074,1.306410548036506,0.44145951296683844,0.20775783,2.1248754458487324,18.210924,2.1815815,0.88392425,3483.601,4.5009,0.4173
207017423867392,45.95200085387235,1.3084332029537313,3.625978374906802,0.2283634,15.87810681777119,18.621798,2.8420734,0.9107115,3117.436,4.9828,0.2672
208052511399296,45.941059845610994,1.3502238151907433,2.501429416242354,0.01798978,139.04724301361438,13.608061,0.9793253,1.0958216,5231.8276,4.4786,0.8405
211316686712704,45.36253068798538,0.9279625091651522,0.9105956257264198,0.014218645,64.0423623220089,12.106619,1.199914,1.2168263,5316.5723,3.2977,5.0586
225507258473088,45.39295305851663,1.1829224491687722,0.4921200103625925,0.06634503,7.417586832069255,16.737099,1.004446,1.010213,5051.015,4.5952,0.6712
228496555705344,45.49297346306483,1.3020471196435563,1.5989385891725088,0.01582887,101.0140689287953,13.178743,0.85980606,1.0464703,5885.98,4.1603,1.3002
232997681437184,45.26665510535919,1.2495767706207603,0.5245252899527608,0.10462403,5.013430232438955,17.364012,1.014473,1.070666,5002.486,4.7859,0.5013
237288353548544,45.14918629276723,1.3024415638884141,1.171956337989956,0.14073455,8.327424290627512,17.951574,1.6812878,0.9949719,3902.2087,4.8356,0.4235
240415089752960,45.516230455331566,1.3491262439999292,0.5144762601729224,0.2278358,2.2581010123723817,18.597433,0.73158455,0.9474471,5878.1978,4.7298,0.607
246982095002368,45.762957622900224,1.2568371876816293,0.6577003554145743,0.059550345,11.044442413105422,15.9812765,1.1034107,1.0934694,5418.47,4.6234,0.6586
247733714005760,45.62861370656401,1.2724089253215707,-0.334808477949136,0.19649617,-1.7038931169881903,18.351284,0.6858654,0.97481024,6099.675,4.6818,0.6707
248115966340608,45.73056552423255,1.301906756818838,0.24434475375131318,0.091117874,2.681633620206519,17.057737,0.9464302,1.0033901,5279.7266,4.7334,0.5462
253025113740928,45.7258282458519,1.3717441697963237,0.3952637949862261,0.17566065,2.2501555354311433,18.16548,0.953619,1.0220469,5100.7407,4.7812,0.511
256254929153920,45.82358420023758,1.3912036775948615,5.315399546398374,0.11377802,46.71728041144976,17.574614,2.811493,0.9043819,3334.1672,4.7952,0.2838
264093244652032,45.5388973376609,1.3810226616109564,-0.1517249347739411,0.12785833,-1.1866644880439265,17.501974,0.81302834,0.9484805,5611.836,4.729,0.591
268456931424256,45.469893790474586,1.4570915128577604,0.7176514900946724,0.07169352,10.009991383390462,16.632826,1.0988493,1.0223377,4780.53,4.3943,0.8896
283124244165248,44.3005258838196,0.6808277864507066,0.8481081225917768,0.052889075,16.03560131281466,16.13544,1.0418997,1.0230824,5097.9917,4.6039,0.6938
289824393166464,44.29453146830666,0.8529336714468815,1.075820126473338,0.13939606,7.717722819653332,17.969847,2.140028,0.9411579,3810.9707,4.6972,0.5576
299926156242688,44.15856269540405,0.821503709843053,-0.09307617795917145,0.14219375,-0.6545729207907514,18.077436,0.897171,1.0509996,5373.037,4.7589,0.5563
300475912056832,44.073747034884796,0.8232719670673974,0.30601244643305325,0.119817115,2.5539961089625525,17.870203,0.91856575,0.9383011,5258.001,4.761,0.5499
302610511521024,44.190017220095854,0.9101377062515514,1.9837861394416205,0.08018097,24.74135782849205,17.057318,2.096363,0.9241398,4141.4937,4.5452,0.7664
306046485358464,44.09627129191489,0.9377225949790735,2.4139054524586188,0.022503626,107.2674019378678,14.489219,1.2949791,1.0663162,4674.7773,4.544,0.7828
308928407926912,44.339589114080134,0.9902654942249535,1.0829403823915087,0.20544784,5.271120857052425,18.45193,2.5606747,1.0735638,3454.7349,4.5652,0.4865
313189015283712,44.223322993434245,1.0512803069144185,0.5350878847259207,0.06597529,8.110428255800471,16.621605,0.7762413,0.9864377,5727.1226,4.6553,0.6296
313601332143872,44.187822160000856,1.0489158185713998,0.7565526365970893,0.13844033,5.464828487783852,17.959814,1.7541847,1.0774099,4071.8945,4.6874,0.5361
315083096540800,44.32914780250156,1.1076284204037445,0.8553982788624789,0.022877311,37.39068225166279,14.288678,0.7918062,0.99460024,6236.9043,4.3365,1.1332
317007241914880,44.61169569266828,0.9279247376445806,0.6412494861375094,0.087639146,7.316929918593198,16.990734,1.3015766,1.0806801,4473.4014,4.7196,0.5479
320301481335936,44.657853869973216,1.0400026151468102,1.0399991144244198,0.13623065,7.634105342825581,18.001553,2.061512,1.0156333,3773.448,4.8042,0.4456
323363793509888,44.6431512734405,1.0682305871607658,2.6855708627720607,0.018983385,141.46954930131008,13.925832,1.1122141,0.90899783,5077.1675,4.5787,0.7142
